Column1,Column2
SREE CHENNI DEPARTMENT STORES,"Sri Sai Towers, 175, Bharathi Colony, Peelamedu, Coimbatore-4"
A. ARUMUGA NADAR SONS,Coimbatore-1
A. RANGASAMY CTR. SONS & COMPANY,"108, D.B. Road, R.S. Puram, Coimbatore-2"
A.K.K.K. KUMARASWAMY MALIGAI,"291, Sathy Road, Amman Nagar, Saravanam Patti, Coimbatore-35"
A.R. DEPARTMENT STORES,"D.R. City Complex, 48, Kamaraj Road, Singanallur, Coimbatore-5"
AGARAM RETAIL STORES P. LTD.,"Vignesh Towers, 1391 A, Sathy Road, Anna Nagar, Ganapathy, Coimbatore-6"
ALANKAR SUPERMARKET P. LTD.,"174, N.S.R. Road, Saibaba Colony, Coimbatore-11"
ALMEERA FRESH,"7, Maniam Papusamy Street, Peelamedu, Coimbatore-4"
AMEENA DEPARTMENTAL STORES,"K.A.H. Building, 1962, Trichy Road, Coimbatore-18"
AMMAN DEPARTMENTAL STORE,"Murugan Plaza, Sanganur Road, Kannappa Nagar, Rathinapuri, Coimbatore-27"
ANAND DEPARTMENTAL STORES,"A) 51, Mettu Palayam Road, Kavundam Palayam, Coimbatore-30"
ANAND DEPARTMENTAL STORES.,"B) 12/8 A, Thadagam Road, Edayar Palayam, Coimbatore-25"
ANANTHA DEPARTMENTAL STORES,"113, Eswaran Koil Street, Rama Natha Puram, Coimbatore-45"
ANANTHAVALLI STORES,"P.N. Complex, 14 B, Vilankurichi Road, Coimbatore-35"
ANBU STORES,"Pudu Thottam, Nallam Palayam Road, Kannappa Nagar, Coimbatore-27"
ATCHAYAN PAZHAMUDIR SOLAI,"Kanuvai Road, Vadavalli, Coimbatore-41"
AUCHAN HYPER MARKET,"Brookefields, Krishnasamy Road, Coimbatore-1"
AVE DEPARTMENTAL STORE,"150, M.G. Road, K.R. Puram, Avaram Palayam, Coimbatore-6"
AVM SWEETS BAKERS & PAZHAMUDIR,"131, Nava India Road, Coimbatore-4"
BAKJERS CORNER PAZHAMUDIR NILAYAM,"12, Corporation Complex, Sengadu, P.N. Palayam, Coimbatore-37"
BALAJI SUPER MARKET,"429, Sathy Road, Ganapathy, Coimbatore-6"
BHARATHI STORES,"199 A, N.S.R. Road, Saibaba Colony, Coimbatore-11"
BHAVAN DEPARTMENTAL STORE,"Teachers Colony, Vilankurichi Road, Coimbatore-35"
BIG BAZAAR,"Unitea Mall, No:3, Savithri Shanmugam Road, Race Course, Coimbatore-18"
BUDGET BAZZAAR,Coimbatore
C.A. STORES,"A) 237, T.K. Market, Raja Street, Coimbatore-1"
CHINTHAMANI CO OPERATIVE SUPER MARKET,"A) N.S.R. Road, Saibaba Colony, Coimbatore-11"
CHINTHAMANI CO OPERATIVE SUPER MARKET.,"B) Mettuppalayam Road, R.S. Puram, Coimbatore-2"
DAILY NEEDS SUPERMARKET,"102, Sastri Street, Ram Nagar, Coimbatore-9"
DAY 2 DAY SUPER MARKET,"Thondamuthur Road, Vadavalli, Coimbatore-41"
DENNIS DEPARTMENTAL STORES,"455, Palakkad Road, Edayar Palayam Pirivu, Kuniamuthur, Coimbatore-8"
DHARMALAKSHMI STORES,"Kamaraj Road, Uppili Palayam, Coimbatore-15"
DHOOL MART,"162, Kanya Nagar, T.V.S. Nagar Road, Kavundam Palayam, Coimbatore-30"
DJ SUPER MARKET,"2/41 A, Vilankurichi Road, Cheran Maanagar, Coimbatore-35"
DORAIS SINGH DEPARTMENTAL STORES,"1031, X-Cut Road, Gandhi Puram, Coimbatore-12"
DURAI`S SUPERMARKET,"N.S.R. Road, Saibaba Colony, Coimbatore-11"
EXPRESS SUPER MARKET,"14, Kaveri Nagar, Kavundam Palayam Road, Edayar Palayam, Coimbatore-25"
GALAXY DEPARTMENTAL STORES,"307, Chinnasamy Naidu Road, Siddha Pudur, Coimbatore-44"
GOODLUCK PALACE,"45, Sri Lakshmi Complex, 73, X-Cut Road, Gandhi Puram, Coimbatore-12"
IDEAL MALIGAI,"Kongunadu College Road, G.N. Mills (P.O), Coimbatore-29"
IDEAL SUPER MARKET,"518, Ramamurthy Road, Selva Puram, Coimbatore-26"
INNOVATIVE RETAIL CONCEPTS P. LTD.,"Warehouse Number 1, Harrisons Malayalam Ltd, Thondamuthur Road, Vedapatti, coimbatore-7"
ISWARYAM DEPARTMENTAL STORE,"527 A, Palakkad Road, B.K. Pudur, Coimbatore-8"
JAI SHREERAM SUPER MARKET,"N.G.G.O. Colony Gate, Mettu Palayam Road, Coimbatore-17"
JEYAA STORES,"41/3, Sathy Road, Sivanandha Puram, Coimbatore-35"
JEYAM SUPER MARKET,"222, Sathy Nagar, Sathy Road, Ganapathy, Coimbatore-6"
K.R. NARAYANAN MALIGAI,"84, Ranga Konar Street, Kattoor, Coimbatore-9"
KALA STORES,"524, 100 Feet Road, Gandhi Puram, Coimbatore-12"
KAMALA STORES,"A) 26, X-Cut Road, Gandhi Puram, Coimbatore-12"
KAMALA STORES,"B) 287, 100 Feet Road, Gandhi Puram, Coimbatore-12"
KAMALA STORES,"D) 166, Nehru Street, Ram Nagar, Coimbatore-9"
KAMALA STORES,"C) Godown, 143, 5th Street, Gandhi Puram, Coimbatore-12"
KARUNA DEPARTMENTAL STORE,"97, Pankaja Mill Road, Rama Natha Puram, Coimbatore-45"
KASIRAJAN STORES,"136, Sastri Street, Ram Nagar, Coimbatore-9"
KASTHURI MALIGAI,"Kumaran Complex, Amman Nagar, Sathy Road, Coimbatore-35"
KASTHURI TRADERS,"50, Sathy Road, Ganapathy Pudur, Coimbatore-6"
KEERTHI MALIGAI,"Sree Lakshmi Complex, 45, Mettu Palayam Road, Vellakinar Pirivu, Coimbatore-29"
KOVAI GREEN SUPER MARKET,"36-1, J.J. Nagar, Vadavalli Road, Edayar Palayam, Coimbatore-25"
KOVAI PAZHAMUDIR NILAYAM,"A) 107, D.B. Road, R.S. Puram, Coimbatore-2"
KOVAI PAZHAMUDIR NILAYAM.,"B) 8/9, Palakkad Road, Edayar Palayam Pirivu, Kuniamuthur, Coimbatore-8"
KOVAI PAZHAMUDIR NILAYAM..,"C) 9, Thirumurugan Nagar, Vadavalli, Coimbatore-41"
KOVAI PAZHAMUDIR NILAYAM...,"D) 27, Mettu Palayam Road, Thudiyalur, Coimbatore-34"
KRISHNA DEPARTMENTAL STORE,"Kalapatti Road, Coimbatore-14"
KRISHNA PAZHAMUDIR,"334/1, Dr. Radhakrishnan Road, Coimbatore-12"
KUMARAN SUPER MARKET,"985, Sree Nagar, Hope College, Avinashi Road, Coimbatore-4"
KUMUDHAM SUPER MARKETS,"A) Kannan Towers, 167, Avinashi Road, Hope College, Coimbatore-4"
KUMUDHAM SUPER MARKETS.,"B) S.B. Towers, Pollachi Road, Sundara Puram, Coimbatore-24"
KUTTY DEPARTMENTAL STORES,"13/779/1, Kalapatti Road, Nehru Nagar, Coimbatore-14"
LAKSHMI NARASIMHA MODERN TRADING COMPANY P. LTD.,"1/25, Maniyakarar Thottam, Kannam Palayam, Sulur-405"
LOGANATHAN DEPARTMENTAL STORES,"K.K. Pudur, Coimbatore-38"
MAHARAJA SUPER MARKET,"Vijay Complex, 73, Thadagam Road, Velandi Palayam, Coimbatore-25"
MAHIZHAM SUPER MARKET,"P & T Colony, Edayar Palayam Road, Kavundam Palayam, Coimbatore-30"
MALARVIZHI SUPER MARKET,"Malarvizhi Building, Moor Market, 1126, Sathy Road, Ganapathy, Coimbatore-6"
MINT DEPARTMENTAL STORES,"Lakshmi Puram, Ganapathy, Coimbatore-6"
MORE,"B) Kamaraj Road, Peelamedu, Coimbatore-4"
MORE.,"A) Palakkad Road, Kuniamuthur, Coimbatore-8"
MURUGAN PAZHAMUTHIR & SUPER MARKET,"A) 93/1, Sathy Road, Saravanam Patti, Coimbatore-35"
MURUGAN PAZHAMUTHIR & SUPER MARKET.,"B) 188, Sathy Road, Saravanam Patti, Coimbatore-35"
N SUPER MARKET - SHANTHARAM ENTERPRISES,"A) Vee Aar Complex, 1 B, Rama Natha Puram Road, Nanjunda Puram, Coimbatore-36"
N SUPER MARKET.,"B) 191, Raja Annamalai Road, Saibaba Colony, Coimbatore-11"
NALAM ANGADI,"3, Sakthi Vinayagar Nagar, Vellalore, Coimbatore-111"
NAVY DEPARTMENTAL STORE,"1029, Sathy Road, Ganapathy, Coimbatore-6"
NEW NOYYAL SUPER MARKET,"Vilankurichi Road, Coimbatore-35"
NEW R.K.S. STORE,"52 B, Thyagi Kumaran Street, Maruthamalai Road, Vadavalli, Coimbatore-41"
NEW RAJA STORES,"Maruthamalai Road, Vadavalli, Coimbatore-41"
NILE SUPER MARKET,"27, Vilankurichi Road, Cheran Maanagar, Coimbatore-35"
NILGIRIS,"B) 103, T.V. Samy Road (West), R.S. Puram, Coimbatore-2"
NILGIRIS,"C) 804, Trichy Road, Rama Natha Puram, Coimbatore-45"
NILGIRIS - ASIAN ENTERPRISES,"D) 328 A, Sathy Road, Athi Palayam Pirivu, Coimbatore-6"
NILGIRIS - ASIAN ENTERPRISES,"E) 1/27, Laxmi Garden, Mettu Palayam Road, Thudiyalur, Coimbatore-34"
NILGIRIS.,"Bharath Complex, 51/1 E, Sathy Road, Saravanam Patti, Coimbatore-35"
OOTYEES SUPER MARKET,"Nilgiris Building, 739 A, Avinashi Road, Coimbatore-18"
ORANGE DEPARTMENTAL STORES,"6, Jeeva Nagar, Cheranmaa Nagar, Vilankurichi Road, Coimbatore-35"
PARVATHY DEPARTMENTAL STORES,"2/20, Railway Station Road, Thudiyalur, Coimbatore-34"
PAZHAMUDIR NILAYAM,"A) 41, Government Arts College Road, Coimbatore-18"
PAZHAMUDIR NILAYAM.,"B) 76 A/1, Mettu Palayam Road, Thudiyalur, Coimbatore-34"
PAZHAMUDIR PLUS,"A) S.F. 429, Sathy Road, Ganapathy, Coimbatore-6"
PAZHAMUDIR PLUS.,"B) 4, Kalapatti Road, Nehru Nagar, Coimbatore-14"
PAZHAMUDIR PLUS..,"Avinashi Road, Peelamedu, Coimbatore-4"
PAZHAMUTHIR SOLAI,"Sathy Road, Saravanam Patti, Coimbatore-35"
PICK & PACKS,"37, Nehru Street, Ram Nagar, Coimbatore-9"
PRAJEETH TRADERS,"28/401, S.V.K. Street, COIMBATORE-1"
PREMIER MAX SUPERMARKETS P. LTD.,"37, Kalapatti Road, Nehru Nagar, Coimbatore-14"
R.M.P. AGENCIES,"368, Sri Vari, Thadagam Road, Somayam Palayam, Coimbatore-108"
RELIANCE FRESH LTD.,"A) S.M. Mahal, 53, Sambantham Road (West), R.S. Puram, Coimbatore-2"
RELIANCE FRESH LTD.,"F) 44, Shankara Layout, Masakali Palaylam Road, Peelamedu, Coimbatore-4"
RELIANCE FRESH LTD.,"B) 1 A, N.S.R. Road, Saibaba Colony, Coimbatore-11"
RELIANCE FRESH LTD.,"E) 422/1 A, Mettu Palayam Road, Peria Naicken Palayam, Coimbatore-20"
RELIANCE FRESH LTD.,"C) 237, Sathy Road, Saravanam Patti, Coimbatore-35"
RELIANCE FRESH LTD.,"D) Sri Ram Plaza, 432, Nanjunda Puram Road, Rama Natha Puram, Coimbatore-45"
RELIANCE MART,"Fun Republic Mall, Avinashi Road, Peelamedu, Coimbatore-4"
RMP AGENCIES,"Excellence, 104, Race Course, Coimbatore-18"
SABARI STORES,"1, Kumudham Nagar, Vilankurichi Road, Coimbatore-35"
SAGAYAM SUPER MARKET,"Elshaddai Complex, 38, Sathya Nagar, Church Road, Kalapatti, Coimbatore-48"
SAMUTHIRAM DEPARTMENTAL STORE,"72/1, V.O.C. Nagar, Police Quarters Road, Ganapathy, Coimbatore-6"
SANGAM SUPER MARKET,"54, Venkata Ramana Nagar, Nanjunda Puram Road, Podanur, Coimbatore-23"
SANTHOSH PAZHAMUDHIR NILAYAM,"151, Maruthamalai Road, P.N. Pudur, Coimbatore-41"
SARASWATHI DEPARTMENTAL STORES,"181 C, Trichy Road, Sulur-402"
SELVASINGH DEPARTMENTAL STORES,"A.V.M. Building, 20, X-Cut Road, Gandhi Puram, Coimbatore-12"
SELVASINGH STORES,"985, X-Cut Road, Gandhi Puram, Coimbatore-12"
SEVEN HILLS MALIGAI,"Vilankurichi Road, Coimbatore-35"
SHALINIS SUPER MARKET,"6, 7th Street Extension., Gandhi Puram, Coimbatore-12"
